rid,org_id,sex,age,tenure_yr,TI_TOT,WE_TOT,LS_TOT,CM_TOT,q_open,answer,dominant_topic_true
R0120,ORG12,1,29,2.6,3.333,2.917,2.8,3.5,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,연수 교육비에 대한 지원이 부족합니다. 리더 신뢰 피드백 관계 때문에 고민이 많습니다.,교육·학습
R0121,ORG12,2,25,0.7,3.0,2.75,3.8,2.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 장기적 승진 부분에서 개선이 필요합니다. 콘텐츠 강의 학습 자격증이(가) 가장 큰 문제라고 생각합니다.",경력·성장
R0122,ORG12,2,38,2.5,2.333,3.333,2.6,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"구성원 차원에서 볼 때, 존중 상사 부분에서 개선이 필요합니다. 일정 피로 과중 워라밸 때문에 고민이 많습니다.",리더십·관계
R0123,ORG12,1,39,6.3,4.0,3.917,4.0,4.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,휴식 일정 워라밸 업무량 관련해서 만족스러운 편입니다. 자기계발 역량개발 승진에 대한 지원이 부족합니다.,업무량·소진
R0124,ORG12,2,34,6.0,3.333,3.75,4.0,3.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,업무량·소진
R0125,ORG13,2,34,3.8,4.0,4.0,1.6,3.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"조직 차원에서 볼 때, 공정 보상 승급 복지 문제가 반복되고 있습니다.",보상·처우
R0126,ORG13,2,32,12.9,5.0,3.583,2.6,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,소통 협업 존중 부분에서 개선이 필요합니다. 야근 부담 피로 관련해서 만족스러운 편입니다.,리더십·관계
R0127,ORG13,1,38,4.6,2.667,2.333,1.8,3.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 자격증 교육비 학습시간 강의 부분에서 개선이 필요합니다. 인센티브 평가이(가) 가장 큰 문제라고 생각합니다.",교육·학습
R0128,ORG13,2,35,5.3,3.0,3.667,1.6,3.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"요즘 차원에서 볼 때, 팀장 협업 피드백 리더 문제가 반복되고 있습니다. 회사가 연봉 만족 공정에 더 신경 써 주면 좋겠습니다.",리더십·관계
R0129,ORG13,2,36,1.8,2.333,3.167,2.0,3.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,야근 인력부족 피로 업무량 문제가 반복되고 있습니다. 공정 복지 임금 평가에 대한 지원이 부족합니다.,업무량·소진
R0130,ORG13,2,30,4.3,3.333,2.75,3.0,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"직원 차원에서 볼 때, 학습 교육 스터디 때문에 고민이 많습니다.",교육·학습
R0131,ORG13,2,28,2.3,3.667,3.583,2.4,3.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"우리 차원에서 볼 때, 피드백 신뢰 존중이(가) 가장 큰 문제라고 생각합니다.",리더십·관계
R0132,ORG13,1,39,5.8,3.333,3.417,4.2,3.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"우리 차원에서 볼 때, 스트레스 일정 워라밸이(가) 가장 큰 문제라고 생각합니다. 스터디 실습 교육비에 대한 지원이 부족합니다. 회사가 팀장 코칭에 더 신경 써 주면 좋겠습니다.",업무량·소진
R0133,ORG14,2,39,5.7,3.0,3.25,2.8,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 인센티브 만족 관련해서 만족스러운 편입니다.",보상·처우
R0134,ORG14,1,39,2.6,2.667,3.417,2.4,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"요즘 차원에서 볼 때, 장기적 전문성 부분에서 개선이 필요합니다. 코칭 신뢰 측면은 잘 되어 있다고 봅니다.",경력·성장
R0136,ORG14,1,31,2.1,4.333,3.833,2.0,3.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"직원 차원에서 볼 때, 신뢰 협업에 대한 지원이 부족합니다.",리더십·관계
R0138,ORG14,2,38,0.7,3.667,2.333,2.0,3.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,부담 번아웃에 대한 지원이 부족합니다. 전문성 승진 경력경로 미래 문제가 반복되고 있습니다.,업무량·소진
R0139,ORG14,1,26,1.7,3.333,2.417,2.8,2.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"필요 차원에서 볼 때, 존중 동료 관계 문제가 반복되고 있습니다. 스트레스 업무량 피로 워라밸 관련해서 만족스러운 편입니다. 평가 수당 만족 문제가 반복되고 있습니다.",리더십·관계
R0141,ORG14,2,21,1.0,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,피로 인력부족 부담 번아웃이(가) 가장 큰 문제라고 생각합니다.,업무량·소진
R0142,ORG14,2,32,5.0,4.0,2.083,1.6,1.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"조직 차원에서 볼 때, 성장 미래에 대한 지원이 부족합니다. 만족 임금에 대한 지원이 부족합니다.",경력·성장
R0143,ORG14,2,25,4.1,2.0,2.455,3.6,3.067,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,보상·처우
R0144,ORG14,1,23,6.1,3.0,2.667,3.0,3.5,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,관계 리더 코칭 피드백 때문에 고민이 많습니다. 온라인 학습시간 과정 관련해서 만족스러운 편입니다.,리더십·관계
R0145,ORG14,2,35,8.6,5.0,2.333,3.8,1.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,인력부족 과중 업무량 일정 부분에서 개선이 필요합니다.,업무량·소진
R0146,ORG15,2,29,2.7,2.0,4.417,4.6,3.562,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,성장 승진 부분에서 개선이 필요합니다. 부담 과중 때문에 고민이 많습니다.,경력·성장
R0147,ORG15,1,27,2.4,1.0,4.25,4.8,4.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 상사 분위기 때문에 고민이 많습니다. 자격증 연수 실습 스터디 부분에서 개선이 필요합니다. 비전 커리어이(가) 가장 큰 문제라고 생각합니다.",리더십·관계
R0148,ORG15,1,35,3.7,2.333,3.545,3.6,4.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,경력·성장
R0149,ORG15,2,28,1.9,1.0,3.083,3.8,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,온라인 과정 연수 관련해서 만족스러운 편입니다. 협업 존중 분위기 동료 부분에서 개선이 필요합니다.,교육·학습
R0150,ORG15,2,40,3.2,3.667,4.167,3.6,3.286,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,자기계발 승진 미래에 대한 지원이 부족합니다.,경력·성장
R0151,ORG15,1,30,1.9,2.333,3.667,4.2,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 워라밸 과중 여유에 대한 지원이 부족합니다.",업무량·소진
R0152,ORG15,2,33,5.0,3.667,2.25,4.4,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"구성원 차원에서 볼 때, 수당 형평성 공정 부분에서 개선이 필요합니다. 전문성 역량개발 장기적 성장에 대한 지원이 부족합니다.",보상·처우
R0153,ORG15,2,32,1.4,2.333,2.417,3.6,3.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 연봉 보상 형평성 문제가 반복되고 있습니다. 직무전환 비전 승진 커리어 측면은 잘 되어 있다고 봅니다. 관계 피드백 팀장 관련해서 만족스러운 편입니다.",보상·처우
R0154,ORG15,2,25,2.1,2.0,2.75,4.0,2.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,존중 분위기 협업 팀장이(가) 가장 큰 문제라고 생각합니다.,리더십·관계
R0155,ORG15,1,30,0.6,2.333,3.833,3.6,3.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,보상·처우
R0156,ORG15,1,38,0.2,2.0,3.0,3.2,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"현재 차원에서 볼 때, 자격증 온라인 문제가 반복되고 있습니다. 회사가 야근 일정 워라밸에 더 신경 써 주면 좋겠습니다.",교육·학습
R0157,ORG15,1,35,6.9,3.0,3.833,3.8,3.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 실습 자격증에 더 신경 써 주면 좋겠습니다. 성장 전문성 직무전환 승진 문제가 반복되고 있습니다. 휴식 번아웃 스트레스이(가) 가장 큰 문제라고 생각합니다.,교육·학습
R0159,ORG16,1,27,6.4,3.667,3.833,4.0,3.562,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,일정 부담 여유 부분에서 개선이 필요합니다. 연수 스터디 실습 강의이(가) 가장 큰 문제라고 생각합니다.,업무량·소진
R0161,ORG16,2,32,7.4,4.0,2.667,2.8,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"요즘 차원에서 볼 때, 복지 평가 부분에서 개선이 필요합니다. 인력부족 워라밸 부분에서 개선이 필요합니다.",보상·처우
R0162,ORG16,2,38,7.0,3.333,3.583,4.4,4.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,비전 직무전환 관련해서 만족스러운 편입니다.,경력·성장
R0163,ORG16,1,31,2.9,3.333,2.667,2.6,4.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"조직 차원에서 볼 때, 커리어 자기계발 측면은 잘 되어 있다고 봅니다.",경력·성장
R0164,ORG16,1,32,0.5,3.333,3.167,3.4,2.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,교육비 온라인에 대한 지원이 부족합니다.,교육·학습
R0165,ORG16,1,29,1.7,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,신뢰 코칭 피드백에 대한 지원이 부족합니다.,리더십·관계
R0166,ORG16,2,36,3.7,3.667,3.333,3.4,3.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"현재 차원에서 볼 때, 교육비 과정이(가) 가장 큰 문제라고 생각합니다. 보상 인센티브 복지 연봉 측면은 잘 되어 있다고 봅니다. 커리어 전문성 부분에서 개선이 필요합니다.",교육·학습
R0167,ORG16,2,39,2.4,1.0,3.417,5.0,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"우리 차원에서 볼 때, 회사가 자격증 학습 연수에 더 신경 써 주면 좋겠습니다. 커리어 승진 장기적 문제가 반복되고 있습니다.",교육·학습
R0168,ORG16,2,26,10.5,2.0,4.583,5.0,4.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,분위기 신뢰 팀장이(가) 가장 큰 문제라고 생각합니다.,리더십·관계
R0169,ORG16,2,34,4.4,3.667,3.167,2.6,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"요즘 차원에서 볼 때, 복지 승급 보상 부분에서 개선이 필요합니다.",보상·처우
R0170,ORG16,2,32,1.8,2.0,3.5,4.0,3.5,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,존중 협업 피드백 측면은 잘 되어 있다고 봅니다.,리더십·관계
R0171,ORG16,2,33,3.1,4.0,2.583,4.6,3.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,교육 강의이(가) 가장 큰 문제라고 생각합니다. 복지 승급 처우 공정에 대한 지원이 부족합니다. 승진 성장 자기계발 문제가 반복되고 있습니다.,교육·학습
R0172,ORG17,1,35,2.1,2.667,2.5,1.6,3.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,온라인 학습 교육 때문에 고민이 많습니다. 자기계발 승진 비전 커리어 측면은 잘 되어 있다고 봅니다.,교육·학습
R0173,ORG17,2,35,0.6,3.0,4.167,1.6,3.5,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"회사 차원에서 볼 때, 자기계발 커리어 문제가 반복되고 있습니다. 수당 연봉 보상에 대한 지원이 부족합니다.",경력·성장
R0175,ORG17,1,32,0.2,2.667,3.583,2.0,3.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,경력·성장
R0176,ORG17,2,28,0.6,2.667,3.833,1.2,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 회사가 미래 장기적 경력경로에 더 신경 써 주면 좋겠습니다. 상사 동료 분위기 신뢰 문제가 반복되고 있습니다.",경력·성장
R0177,ORG17,2,22,3.0,3.0,3.3,1.8,3.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,온라인 자격증 연수 문제가 반복되고 있습니다. 회사가 승진 성장에 더 신경 써 주면 좋겠습니다.,교육·학습
R0178,ORG17,2,30,2.4,3.0,2.667,3.2,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,처우 보상 평가 인센티브 때문에 고민이 많습니다. 동료 관계 때문에 고민이 많습니다.,보상·처우
R0180,ORG18,2,28,10.6,5.0,2.583,2.2,2.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,복지 수당 보상 문제가 반복되고 있습니다.,보상·처우
R0181,ORG18,1,27,6.8,4.333,2.667,4.0,3.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 번아웃 스트레스이(가) 가장 큰 문제라고 생각합니다. 역량개발 경력에 대한 지원이 부족합니다.",업무량·소진
R0183,ORG18,1,32,3.3,4.667,2.833,3.0,2.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,실습 과정 학습시간 때문에 고민이 많습니다. 수당 복지에 대한 지원이 부족합니다.,교육·학습
R0184,ORG18,1,34,3.6,4.0,3.333,4.0,2.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,업무량·소진
R0185,ORG18,2,37,2.6,4.0,4.0,4.0,4.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,업무량·소진
R0186,ORG18,2,31,3.5,3.333,3.917,3.6,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,교육비 과정 교육에 대한 지원이 부족합니다. 동료 피드백이(가) 가장 큰 문제라고 생각합니다.,교육·학습
R0187,ORG18,2,27,0.1,5.0,2.917,3.8,2.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"현재 차원에서 볼 때, 인센티브 연봉 처우 부분에서 개선이 필요합니다. 회사가 번아웃 과중에 더 신경 써 주면 좋겠습니다.",보상·처우
R0188,ORG18,2,28,2.7,3.0,4.083,3.2,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,직무전환 자기계발 성장 역량개발 측면은 잘 되어 있다고 봅니다. 회사가 번아웃 여유 피로 부담에 더 신경 써 주면 좋겠습니다.,경력·성장
R0189,ORG18,1,27,0.5,3.667,3.083,3.2,2.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,콘텐츠 교육 부분에서 개선이 필요합니다. 야근 번아웃 과중이(가) 가장 큰 문제라고 생각합니다. 미래 비전이(가) 가장 큰 문제라고 생각합니다.,교육·학습
R0190,ORG18,1,31,8.4,4.333,3.167,3.2,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,과중 휴식 부담 번아웃 문제가 반복되고 있습니다. 실습 교육비 관련해서 만족스러운 편입니다.,업무량·소진
R0191,ORG18,1,30,0.2,3.333,3.833,2.8,3.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,만족 복지 측면은 잘 되어 있다고 봅니다. 회사가 경력경로 장기적에 더 신경 써 주면 좋겠습니다.,보상·처우
R0192,ORG19,1,35,3.2,3.0,2.167,2.6,1.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,직무전환 비전 성장 역량개발 때문에 고민이 많습니다. 회사가 워라밸 과중 휴식에 더 신경 써 주면 좋겠습니다.,경력·성장
R0193,ORG19,2,28,2.2,2.333,3.667,2.5,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 분위기 존중 팀장에 더 신경 써 주면 좋겠습니다. 과정 실습 때문에 고민이 많습니다.,리더십·관계
R0194,ORG19,1,29,4.1,2.333,3.583,2.4,3.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 자격증 과정에 더 신경 써 주면 좋겠습니다. 피드백 동료 코칭에 대한 지원이 부족합니다. 여유 업무량에 대한 지원이 부족합니다.,교육·학습
R0195,ORG19,2,26,5.2,4.0,3.75,1.6,3.533,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 코칭 리더 존중 동료 때문에 고민이 많습니다.",리더십·관계
R0196,ORG19,2,32,5.4,2.333,3.417,2.6,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,강의 온라인 학습 연수 관련해서 만족스러운 편입니다. 평가 인센티브 만족 보상 관련해서 만족스러운 편입니다.,교육·학습
R0197,ORG19,1,31,3.1,3.667,3.5,3.0,4.562,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 과중 업무량에 대한 지원이 부족합니다. 복지 보상이(가) 가장 큰 문제라고 생각합니다. 비전 역량개발 성장 문제가 반복되고 있습니다.",업무량·소진
R0198,ORG20,1,38,10.7,3.0,3.333,2.4,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,분위기 코칭 피드백 리더 측면은 잘 되어 있다고 봅니다. 스트레스 야근 번아웃 일정 측면은 잘 되어 있다고 봅니다.,리더십·관계
R0199,ORG20,1,29,1.0,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,미래 성장 관련해서 만족스러운 편입니다.,경력·성장
R0201,ORG20,1,33,5.8,3.333,3.917,3.2,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,커리어 장기적 비전 부분에서 개선이 필요합니다. 만족 수당 임금 평가에 대한 지원이 부족합니다.,경력·성장
R0202,ORG20,1,26,0.5,3.333,2.333,1.4,2.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,보상·처우
R0203,ORG20,2,27,0.4,4.667,2.5,2.4,3.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,경력·성장
R0204,ORG20,2,26,7.4,4.0,2.667,3.0,2.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,관계 분위기 동료 측면은 잘 되어 있다고 봅니다. 회사가 부담 과중 휴식에 더 신경 써 주면 좋겠습니다. 회사가 교육 과정 온라인 교육비에 더 신경 써 주면 좋겠습니다.,리더십·관계
R0205,ORG20,2,28,1.6,3.667,3.545,3.4,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,동료 관계 문제가 반복되고 있습니다. 교육 스터디 학습시간 자격증 관련해서 만족스러운 편입니다. 번아웃 스트레스이(가) 가장 큰 문제라고 생각합니다.,리더십·관계
R0206,ORG20,2,29,1.0,2.0,3.583,3.2,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,실습 학습 강의 문제가 반복되고 있습니다.,교육·학습
R0207,ORG20,1,31,4.2,3.667,4.0,4.0,3.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,실습 온라인 측면은 잘 되어 있다고 봅니다.,교육·학습
R0208,ORG21,2,32,13.0,1.667,3.182,3.4,3.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,인센티브 복지 때문에 고민이 많습니다. 과중 일정 인력부족 피로 부분에서 개선이 필요합니다.,보상·처우
R0210,ORG21,1,32,4.0,4.0,2.833,2.6,2.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"우리 차원에서 볼 때, 회사가 일정 여유 워라밸 휴식에 더 신경 써 주면 좋겠습니다.",업무량·소진
R0211,ORG21,2,20,2.4,1.667,3.417,4.2,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"현재 차원에서 볼 때, 야근 피로 업무량 부담이(가) 가장 큰 문제라고 생각합니다. 회사가 콘텐츠 자격증에 더 신경 써 주면 좋겠습니다.",업무량·소진
R0212,ORG21,1,24,2.0,2.0,3.167,4.0,3.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,교육·학습
R0213,ORG21,1,30,1.2,1.333,3.5,4.2,3.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,비전 경력경로 자기계발 전문성 관련해서 만족스러운 편입니다. 복지 승급 부분에서 개선이 필요합니다.,경력·성장
R0214,ORG21,1,26,4.9,1.333,4.333,4.2,3.5,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,온라인 스터디 교육 실습 부분에서 개선이 필요합니다.,교육·학습
R0215,ORG21,2,37,6.2,2.0,2.833,3.4,4.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,과중 번아웃 부담에 대한 지원이 부족합니다.,업무량·소진
R0216,ORG21,1,30,0.3,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,존중 상사 코칭 신뢰 부분에서 개선이 필요합니다.,리더십·관계
R0217,ORG21,2,31,3.7,4.667,2.5,2.4,2.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,여유 번아웃 인력부족 피로 관련해서 만족스러운 편입니다. 수당 처우이(가) 가장 큰 문제라고 생각합니다.,업무량·소진
R0218,ORG22,2,42,2.4,1.667,3.5,3.4,3.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 존중 소통 관련해서 만족스러운 편입니다. 경력경로 승진 때문에 고민이 많습니다. 교육 콘텐츠에 대한 지원이 부족합니다.",리더십·관계
R0219,ORG22,1,30,5.5,3.333,3.417,4.0,3.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,온라인 스터디 실습 문제가 반복되고 있습니다. 휴식 번아웃 인력부족 관련해서 만족스러운 편입니다.,교육·학습
R0220,ORG22,2,27,1.0,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,인력부족 과중이(가) 가장 큰 문제라고 생각합니다.,업무량·소진
R0221,ORG22,1,31,5.3,4.0,3.417,4.4,3.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,성장 장기적 경력경로 문제가 반복되고 있습니다. 교육 학습시간 온라인 스터디 때문에 고민이 많습니다.,경력·성장
R0222,ORG22,2,35,1.9,2.333,3.75,3.8,2.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,인력부족 일정 업무량이(가) 가장 큰 문제라고 생각합니다. 리더 상사 신뢰에 대한 지원이 부족합니다.,업무량·소진
R0224,ORG22,1,33,3.6,4.0,2.25,3.4,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"회사 차원에서 볼 때, 처우 만족 복지 평가 부분에서 개선이 필요합니다.",보상·처우
R0225,ORG22,2,32,6.1,3.667,3.083,2.4,3.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,경력경로 역량개발 장기적 문제가 반복되고 있습니다.,경력·성장
R0226,ORG22,2,24,4.1,3.0,3.583,4.2,4.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 과정 교육비 연수 교육이(가) 가장 큰 문제라고 생각합니다. 회사가 팀장 신뢰 협업에 더 신경 써 주면 좋겠습니다.",교육·학습
R0227,ORG22,1,31,3.5,3.0,3.583,3.4,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 실습 자격증 학습시간에 대한 지원이 부족합니다. 리더 피드백 측면은 잘 되어 있다고 봅니다.",교육·학습
R0228,ORG22,1,33,5.2,3.667,3.25,3.6,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 연봉 처우 승급 임금에 더 신경 써 주면 좋겠습니다. 콘텐츠 학습시간 학습 연수에 대한 지원이 부족합니다.,보상·처우
R0229,ORG22,1,37,0.4,2.0,4.417,4.8,4.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"회사 차원에서 볼 때, 소통 코칭 팀장 관계 문제가 반복되고 있습니다.",리더십·관계
R0230,ORG22,1,29,1.0,3.667,1.833,3.2,3.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,학습시간 자격증 온라인 문제가 반복되고 있습니다. 만족 복지 보상 평가이(가) 가장 큰 문제라고 생각합니다.,교육·학습
R0231,ORG22,2,32,3.5,3.333,3.583,3.2,4.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"현재 차원에서 볼 때, 자격증 실습 콘텐츠에 대한 지원이 부족합니다. 성장 경력 전문성 직무전환 문제가 반복되고 있습니다.",교육·학습
R0232,ORG22,2,30,2.7,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"직원 차원에서 볼 때, 미래 역량개발 커리어 장기적 때문에 고민이 많습니다. 업무량 스트레스 피로이(가) 가장 큰 문제라고 생각합니다.",경력·성장
R0233,ORG22,2,32,0.4,3.667,4.167,3.4,4.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,연봉 수당 공정 부분에서 개선이 필요합니다. 협업 팀장 신뢰 피드백 관련해서 만족스러운 편입니다.,보상·처우
R0234,ORG22,1,29,4.0,3.333,3.083,3.6,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"요즘 차원에서 볼 때, 관계 상사 측면은 잘 되어 있다고 봅니다.",리더십·관계
R0236,ORG22,1,28,0.2,4.667,2.333,4.6,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,복지 승급 측면은 잘 되어 있다고 봅니다.,보상·처우
R0237,ORG22,1,28,1.7,3.333,4.75,4.2,4.5,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"우리 차원에서 볼 때, 전문성 비전 경력 직무전환 부분에서 개선이 필요합니다. 교육 학습시간 교육비 자격증 문제가 반복되고 있습니다.",경력·성장
R0238,ORG23,2,20,4.0,3.0,2.667,2.2,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,상사 관계 분위기 관련해서 만족스러운 편입니다. 피로 휴식 스트레스 때문에 고민이 많습니다.,리더십·관계
R0239,ORG23,1,26,0.5,4.333,3.167,3.2,3.786,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,인력부족 일정 과중에 대한 지원이 부족합니다.,업무량·소진
R0240,ORG23,2,38,0.5,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,자기계발 미래 경력 성장이(가) 가장 큰 문제라고 생각합니다. 여유 과중 일정 관련해서 만족스러운 편입니다.,경력·성장
R0241,ORG23,2,35,6.0,3.667,3.333,3.4,3.667,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 연봉 만족 처우 보상에 더 신경 써 주면 좋겠습니다.,보상·처우
R0242,ORG23,2,25,2.0,4.333,2.5,4.2,2.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,업무량 일정 피로 문제가 반복되고 있습니다. 회사가 공정 보상에 더 신경 써 주면 좋겠습니다.,업무량·소진
